ID,Agent,LCity,BZip,County
146678,Bramwell Outpost,Freeman,24724,MERCER
146707,Grube Inc,Defiance,43512,DEFIANCE
146704,Par Mar #89,Mineral Wells,26150,WOOD
146687,State Line Cafe & Hot Spot Nor,Wellsburg,26070,BROOKE
146709,The Liquor Lair Llc,Man,25635,LOGAN
146718,Cargo Store,Northfork,24868,MCDOWELL
146706,Quick Stop,Princeton,24740,MERCER
146708,New Mart,Ridgeley,26753,MINERAL
146713,Par Mar Store #95,Fairmont,26554,MARION
146715,Par Mar Store #94,Cabin Creek,25035,KANAWHA
146724,Rutter'S #73,Inwood,25428,BERKELEY
146712,Tropics,Morgantown,26508,MONONGALIA
146692,Ashland Company Store Llc,Northfork,24868,MCDOWELL
146719,Three Wagging Tails Cafe,New Martinsville,26155,WETZEL
146720,Three Springs Cafe,Weirton,26062,HANCOCK
146721,Aunt Julie'S,Newell,26050,HANCOCK
146723,The Coffee Cup,New Martinsville,26155,WETZEL
146726,Hardestys Express Mart Llc,Shinnston,26431,HARRISON
146728,Burns Bait And Carryout,Elizabeth,26143,WIRT
146717,Sheetz #650,Triadelphia,26059,OHIO
146730,Par Mar Store #97,Saint Albans,25177,KANAWHA
146716,Par Mar Store #92,Smithers,25186,FAYETTE
146732,Tkm Customer Service Llc,Barboursville,25504,CABELL
146734,Smoker'S Paradise Inc,Ripley,25271,JACKSON
146735,Flat Iron Drug Store,Welch,24801,MCDOWELL
146736,Sheetz #650,Triadelphia,26059,OHIO
146737,Princeton Mart,Princeton,24740,MERCER
146738,Circle 5 Inc,Lewisburg,24901,GREENBRIER
146739,Par Mar Oil Company,Williamstown,26187,WOOD
146740,Mini Gaints Llc,Williamstown,26187,WOOD
146729,Par Mar Store #17,Hurricane,25526,PUTNAM
146742,Par Mar Store #100,Barboursville,25504,CABELL
146741,Par Mar Store #99,Williamstown,26187,WOOD
146743,Scarbro Market,Scarbro,25917,FAYETTE
146744,Grandview Exxon,Beaver,25813,RALEIGH
146745,Colony Drug Pharmacy,,25801,RALEIGH
146746,The Big Easy Lounge,Morgantown,26508,MONONGALIA
146725,Weirton - Bp,Weirton,26062,HANCOCK
146747,Wvl Lobby,,25302,KANAWHA
146748,Dawg Den,Wheeling,26003,OHIO
146749,7-Eleven #35933j,Charleston,25314,KANAWHA
146750,Uncle Pete'S Llc,Wheeling,26003,OHIO
146731,Par Mar Store #96,Charleston,25312,KANAWHA
146751,7-Eleven 34915b,Petersburg,26847,GRANT
146752,7-Eleven #35942h,South Charleston,25303,KANAWHA
146753,Bogey'S Bethany Pike Carryout,Wheeling,26003,OHIO
146755,High Life Lounge,Weston,26452,LEWIS
146756,High Life Lounge,Elkins,26241,RANDOLPH
146757,Pit Stop,Fort Gay,25514,WAYNE
146759,Lulu Mart,Huntington,25704,WAYNE
146761,Walmart Supercenter Fuel Kiosk,Elkins,26241,RANDOLPH
146760,Big Otter Food Mart #160,Ivydale,25113,CLAY
146758,Little General Store #7700,Huntington,25701,CABELL
146754,Par Mar #102,Bartow,24920,POCAHONTAS
146762,Jesse E-Z Stop Llc,Jesse,24849,WYOMING
146763,Walmart Supercenter Fuel Kiosk,Mason,25260,MASON
146764,Walmart Supercenter Fuel Kiosk,Lewisburg,24901,GREENBRIER
146765,Walmart Supercenter Fuel Kiosk,Huntington,25705,CABELL
146766,Walmart Supercenter Fuel Kiosk,Fairmont,26554,MARION
146767,Walmart Supercenter Fuel Kiosk,Weston,26452,LEWIS
146768,The Bears Den,,24915,POCAHONTAS
146770,Walmart  Supercenter Fuel Kios,Princeton,24739,MERCER
146771,Walmart Supercenter Fuel Kiosk,Parkersburg,26101,WOOD
146772,Walmart Supercenter Fuel Kiosk,New Martinsville,26155,WETZEL
146773,Walmart Supercenter Fuel Kiosk,Moundsville,26041,MARSHALL
146774,Par Mar #105,Williamstown,26187,WOOD
146775,7-Eleven   #16924a,Romney,26757,HAMPSHIRE
146776,7-Eleven  #17109a,Keyser,26726,MINERAL
146777,7-Eleven  #28317a,Wardensville,26851,HARDY
146778,7-Eleven  #28326a,Fort Ashby,26719,MINERAL
146785,Sheetz #660,Barboursville,25504,CABELL
146786,Mill Creek Pub,Mill Creek,26280,RANDOLPH
146783,7-Eleven #35915a,Saint Albans,25177,PUTNAM
146784,7-Eleven #35914a,Saint Albans,25177,KANAWHA
146779,7-Eleven #35943a,Rivesville,26588,MARION
146780,7-Eleven #35937a,Blacksville,26521,MONONGALIA
146781,7-Eleven #35946a,New Martinsville,26155,WETZEL
146782,7-Eleven #35944a,Mannington,26582,MARION
146787,Par Mar Store #1105,Williamstown,26187,WOOD
146789,Madelynn'S Hot Spot & Cafe,Morgantown,26501,MONONGALIA
146790,Stop Buy,Keyser,26726,MINERAL
146791,Sammy,Piedmont,26750,MINERAL
146788,Winston'S Hot Spot 2,Huntington,25705,CABELL
146792,Ismart,Beckley,25801,RALEIGH
146793,T & M Meats,Charleston,25313,KANAWHA
146794,Red Lightning,Red House,25168,PUTNAM
146795,Lucky Day,,26330,HARRISON
146796,Madelynn'S Hot Spot And Cafe I,Morgantown,26505,MONONGALIA
146799,Mnj Mart,Shrewsbury,25015,KANAWHA
146800,Saratoga Hot Spot Ii,Fairmont,26554,MARION
146797,Martin'S Food Market,Martinsburg,25401,BERKELEY
146798,Martin'S Food Market,Hedgesville,25427,BERKELEY
146801,Jack'S Sunoco,Huntington,25704,WAYNE
146802,Par Mar Store #106,Nitro,25143,KANAWHA
146804,Lakeside Market,Hanover,24839,WYOMING
146803,Hodgesville Mini Mart,Buckhannon,26201,UPSHUR
146805,Bfs Foods #87,Parsons,26287,TUCKER
146806,Coen Markets #1701,Valley Grove,26060,OHIO
146808,House Of Brews,Follansbee,26037,BROOKE
146809,Greg'S #1,Moundsville,26041,MARSHALL
146810,Greg'S Iii,Moundsville,26041,MARSHALL
146807,Bfs Foods #88,Morgantown,26505,MONONGALIA
146811,Adams Grocery,Lesage,25537,CABELL
146813,Middlebourne Galaxy Food Cente,Middlebourne,26149,TYLER
146814,Arrowhead Deli,Bluefield,24701,MERCER
146815,South Hills Golf Club,Parkersburg,26101,WOOD
146816,Forkers Sports Bar,Charleston,25313,KANAWHA
146817,Sunglass Way Llc,Charleston,25389,KANAWHA
146818,Black Bear Express Parkersburg,Parkersburg,26101,WOOD
146819,Par Mar Oil #116,Charleston,25311,KANAWHA
146820,Valley Cheese,Wheeling,26003,OHIO
146821,Madelynn'S Hot Spot & Cafe Iii,Morgantown,26505,MONONGALIA
146822,North End Market,Parkersburg,26101,WOOD
146823,Quick Mart #11,Kenova,25530,WAYNE
146824,American Spirirts,Mason,25260,MASON
146826,Par Mar Oil #115,Charleston,25302,KANAWHA
146812,7-Eleven #28316b,Charles Town,25414,JEFFERSON
146829,The Roberts Family Store,Kingwood,26537,PRESTON
146830,Milton Exxon,Milton,25541,CABELL
146827,Melrose Square,Princeton,24740,MERCER
146828,Village Store,Princeton,24740,MERCER
146832,7-Eleven #10673j,Ranson,25438,JEFFERSON
146831,Shop Rite,Shady Spring,25918,RALEIGH
146825,Par Mar Oil #117,Talcott,24981,SUMMERS
146833,High Life Lounge,Buckhannon,26201,UPSHUR
146834,High Life Lounge,Fairmont,26554,MARION
146835,High Life Lounge,Morgantown,26508,MONONGALIA
146836,Kendra'S Hot Spot And Grill,Fairmont,26554,MARION
146843,Yoga Power,Charleston,25301,KANAWHA
146844,One More On Route  2,Point Pleasant,25550,MASON
146842,Coleman Drive Exxon,Lewisburg,24901,GREENBRIER
146845,High Life Lounge,Elkins,26241,RANDOLPH
146846,Country Store The,Springfield,26763,HAMPSHIRE
146878,Rupert Service Center,Rupert,25984,GREENBRIER
146879,Jersey'S Llc,Mount Gay,25637,LOGAN
146873,Walmart #2610,Logan,25601,LOGAN
146847,Walmart #2474,Keyser,26726,MINERAL
146838,Walmart #5088,Triadelphia,26059,OHIO
146856,Walmart #2684,New Martinsville,26155,WETZEL
146857,Walmart #2852,Moundsville,26041,MARSHALL
146862,Walmart #4278,Quincy,25015,KANAWHA
146864,Walmart #4423,Martinsburg,25404,BERKELEY
146868,Walmart #1948,Weirton,26062,HANCOCK
146869,Walmart #2036,South Charleston,25309,KANAWHA
146871,Walmart #2566,Charles Town,25414,JEFFERSON
146880,Debbie'S Market,Jolo,24850,MCDOWELL
146884,A & R Market,Weirton,26062,HANCOCK
146882,Carpenter'S General Store,Spencer,25276,ROANE
146875,Walmart #2792,Wayne,25570,WAYNE
146870,Walmart #2083,Morgantown,26508,MONONGALIA
146867,Walmart #1544,Clarksburg,26301,HARRISON
146863,Walmart #4372,Kingwood,26537,PRESTON
146859,Walmart #2833,Grafton,26354,TAYLOR
146860,Walmart #3215,Morgantown,26501,MONONGALIA
146861,Walmart #4277,Hurricane,25526,PUTNAM
146852,Walmart #1714,Fairmont,26554,MARION
146849,Walmart #2849,Mason,25260,MASON
146855,Walmart #2823,Parkersburg,26101,WOOD
146865,Walmart #1782,Vienna,26105,WOOD
146881,St. Mary'S Galaxy Food Center,Saint Marys,26170,PLEASANTS
146877,Walmart #2810,Spencer,25276,ROANE
146876,Walmart #2809,Buckhannon,26201,UPSHUR
146874,Walmart #2696,Moorefield,26836,HARDY
146853,Walmart #1653,Weston,26452,LEWIS
146858,Walmart #1477,,26651,NICHOLAS
146850,Walmart #1499,Lewisburg,24901,GREENBRIER
146840,Walmart #6951,Sutton,26601,BRAXTON
146841,Walmart #1360,Fayetteville,25840,FAYETTE
146854,Walmart #2933,Princeton,24739,MERCER
146885,U-Bolt-Thru Llc,,26105,WOOD
146866,Walmart #1703,Martinsburg,25401,BERKELEY
146883,Jerry'S Run Food Mart #188,Apple Grove,25502,MASON
146886,Julia'S C Town,Charles Town,25414,JEFFERSON
146887,Drug Emporium,,25504,CABELL
146888,Drug Emporium,,25304,KANAWHA
146889,Drug Emporium,,25387,KANAWHA
146890,J & J Foodway Supermarket,Harpers Ferry,25425,JEFFERSON
146891,Mountaineer Pub,Martinsburg,25404,BERKELEY
146893,Convenient Food Mart,Wheeling,26003,OHIO
146895,Par Mar Oil #125,Huntington,25702,CABELL
146896,Par Mar Oil #126,Ripley,25271,JACKSON
146894,Par Mar Oil #124,Glenville,26351,GILMER
146892,Knotty Pines Club,Wheeling,26003,OHIO
146897,Hill Quick Stop,Red House,25168,PUTNAM
146898,Twisted Gun Golf Course,Wharncliffe,25651,MINGO
146900,Mountaineer Mart Ridgeley,Ridgeley,26753,MINERAL
146906,Mountaineer Mart Terra Alta,Terra Alta,26764,PRESTON
146907,Mountaineer Mart Fairmont,Fairmont,26554,MARION
146903,Mountaineer Mart Philippi,Philippi,26416,BARBOUR
146912,Mountaineer Mart Caldwell,Caldwell,24925,GREENBRIER
146910,Mountaineer Mart Summersville,Summersville,26651,NICHOLAS
146914,Bfs Foods #89,Bridgeport,26330,HARRISON
146902,Mountaineer Mart Richwood,Richwood,26261,NICHOLAS
146908,Mountaineer Mart Buckhannon,Buckhannon,26201,UPSHUR
146915,Mountaineer Mart Cooks,Buckhannon,26201,UPSHUR
146916,Mountaineer Mart Elkins,Elkins,26241,RANDOLPH
146913,Mountaineer Mart Belington,Belington,26250,BARBOUR
146904,Mountaineer Mart Salem,Salem,26426,HARRISON
146901,Mountaineer Mart Clarksburg,Clarksburg,26301,HARRISON
146899,Mountaineer Mart Weston,Weston,26452,LEWIS
146905,Mountaineer Mart Glenville,Glenville,26351,GILMER
146911,Mountaineer Mart Mount Hope,Mount Hope,25880,FAYETTE
146909,Mountaineer Mart Oak Hill,Oak Hill,25901,FAYETTE
146917,Little General Store #7710,,25313,KANAWHA
146918,Bfs Foods #93,Morgantown,26508,MONONGALIA
146919,Bunker Hill Convenience Store,,25413,BERKELEY
146920,Dean'S Variety Mart,Buckhannon,26201,UPSHUR
146921,Better Times,Moorefield,26836,HARDY
146923,Little General Store #7730,,24801,MCDOWELL
146924,Little General Store #7735,,24881,MCDOWELL
146922,Bfs Foods #94,Morgantown,26501,MONONGALIA
146925,Par Mar Oil #119,Morgantown,26508,MONONGALIA
146926,Par Mar Oil #120,Blacksville,26521,MONONGALIA
146872,Walmart #2576,Cross Lanes,25313,KANAWHA
146839,Walmart #5296,Barboursville,25504,CABELL
146837,Walmart #5319,Beckley,25801,RALEIGH
146851,Walmart #2244,Huntington,25705,CABELL
146848,Walmart #1522,Elkins,26241,RANDOLPH
146927,Speedway,South Charleston,25309,KANAWHA
146928,Little General Store #7725,,24801,MCDOWELL
146929,Poca Quick Stop,Poca,25159,PUTNAM
146930,Par Mar Oil #128,Moorefield,26836,HARDY
146931,The George'S General Store Llc,,26201,UPSHUR
146932,Bogey'S Carryout & Hot Spot,,26003,OHIO
146933,Kroger,,24970,GREENBRIER
146934,Kroger,,25962,GREENBRIER
146935,J & J Country Roads Store Llc,,24962,SUMMERS
146940,7-Eleven #25306j,Martinsburg,25401,BERKELEY
146943,7-Eleven 25306j,Martinsburg,25401,BERKELEY
146944,Capl Retail,Allentown,18101,LEHIGH
146945,Stop In #8098,Crawley,24931,GREENBRIER
146946,Stop In #8211,Lewisburg,24901,GREENBRIER
146947,Stop In #8140,Ronceverte,24970,GREENBRIER
146948,One Stop #8130,Delbarton,25670,MINGO
146949,One Stop #8520,Kenna,25248,JACKSON
146950,One Stop #8132,Delbarton,25670,MINGO
146951,One Stop #8536,Fairmont,26554,MARION
146962,One Stop #8111,Charleston,25302,KANAWHA
146963,One Stop #8508,Charleston,25311,KANAWHA
146965,One Stop #8514,Charleston,25302,KANAWHA
146967,One Stop #8129,Charleston,25312,KANAWHA
146968,One Stop #8135,Nitro,25143,KANAWHA
146970,One Stop #8513,Morgantown,26501,MONONGALIA
146971,One Stop #8110,Logan,25601,LOGAN
146980,One Stop #8134,Caldwell,24925,GREENBRIER
146975,One Stop #8102,Saint Albans,25177,KANAWHA
146976,One Stop #8103,Charleston,25313,KANAWHA
146977,One Stop #8115,Charleston,25304,KANAWHA
146974,One Stop #8534,Ashford,25009,BOONE
146979,One Stop #8507,South Charleston,25303,KANAWHA
146969,One Stop #8512,Bridgeport,26330,HARRISON
146966,One Stop #8101,South Charleston,25303,KANAWHA
146955,One Stop #8531,Princeton,24740,MERCER
146956,One Stop #8006,Whitesville,25209,BOONE
146957,One Stop #8133,Sophia,25921,RALEIGH
146959,One Stop #8533,Daniels,25832,RALEIGH
146960,One Stop #8108,Beckley,25801,RALEIGH
146961,One Stop #8107,Foster,25081,BOONE
146958,One Stop  #8522,Charleston,25314,KANAWHA
146964,One Stop #8109,South Charleston,25309,KANAWHA
146973,One Stop #8535,Omar,25638,LOGAN
146981,One Stop #8538,Delbarton,25670,MINGO
146978,One Stop #8517,South Charleston,25309,KANAWHA
146982,Par Mar Oil #129,Rockport,26169,WOOD
146983,Julia'S Bank,Martinsburg,25401,BERKELEY
146984,Grandview Market,Beaver,25813,RALEIGH
146985,Kroger,Princeton,24740,MERCER
146986,Kroger,Charleston,25302,KANAWHA
146987,No. 4 Store,Tunnelton,26444,PRESTON
146988,Gary Bantam Market,Gary,24836,MCDOWELL
146989,Food Lion,Salisbury,28147,ROWAN
146990,Food Lion #871,Shepherdstown,25443,JEFFERSON
146991,Red Lightning,Huntington,25705,CABELL
146993,Par Mar Oil #149,Middlebourne,26149,TYLER
146992,New Pickaway Store #2,Sinks Grove,24976,MONROE
146995,Sidetracked Bar & Grill,Rowlesburg,26425,PRESTON
146996,Mileground Cafe,Morgantown,26505,MONONGALIA
146994,Par Mar Oil #150,Kingwood,26537,PRESTON
146997,North Pole Ice,Clarksburg,26301,HARRISON
146998,Kroger,Hinton,25951,SUMMERS
146999,Sheetz #690,Morgantown,26505,MONONGALIA
147000,4 Sisters Market,Hundred,26575,WETZEL
147001,Food Lion #663,Charles Town,25414,JEFFERSON
147002,Food Lion #1169,Clarksburg,26301,HARRISON
147003,Food Lion #807,Berkeley Springs,25411,MORGAN
147004,Food Lion #820,Romney,26757,HAMPSHIRE
147005,7-eleven 25306b,Martinsburg,25401,BERKELEY
147007,Food Lion #1150,Nutter Fort,26301,HARRISON
147008,Food Lion #1270,Fairmont,26554,MARION
147009,Food Lion #949,Moorefield,26836,HARDY
147010,Food Lion #2194,Falling Waters,25419,BERKELEY
147011,Kendra's Hot Spot And Grill Ii,Fairmont,26554,MARION
147017,Infoplace Usa,Bridgeport,26330,HARRISON
147018,Big Apple Lounge,Inwood,25428,BERKELEY
147019,Par Mar Oil #155,Summersville,26651,NICHOLAS
147020,Rowlesburg Mercantile,Rowlesburg,26425,PRESTON
147021,Riesbeck's #20,New Martinsville,26155,WETZEL
147022,Par Mar Oil #127,Morgantown,26508,MONONGALIA
147023,Paradise Food Mart,Wheeling,26003,OHIO
147024,Buckhannon Shop N Save Express,Buckhannon,26201,UPSHUR
147025,Par Mar Oil #156,Arnoldsburg,25234,CALHOUN
147026,Bfs Foods #95,Morgantown,26508,MONONGALIA
147027,Food Lion #1167,Inwood,25428,BERKELEY
147034,7-eleven #35930a,Charleston,25304,KANAWHA
147035,T & T Grocery Llc,Tornado,25202,KANAWHA
147036,Alum Creek Quick Stop,Alum Creek,25003,LINCOLN
147037,Weis Markets #238,Martinsburg,25405,BERKELEY
147038,Shell,Lewisburg,24901,GREENBRIER
147039,Good Stuff Bar & Grill,Cross Lanes,25313,KANAWHA
147040,Black Bear Express Westridge,Morgantown,26501,MONONGALIA
